video_id,text
103,Donald Trump wants to make it harder for schools to feed hungry kids by changing rules that let high-poverty schools give free meals to everyone.
105,The Donald Trump budget would force states to kick millions of people off Medicaid by giving states much less money to run their healthcare programs that help poor families and seniors.
106,The Donald Trump tax plan takes money away from programs helping working families to give $4.5 trillion in tax cuts to the wealthiest Americans and big corporations.
107,"Donald Trump wants to slash VA hospital funding by billions of dollars in his budget, meaning longer wait times and worse care for veterans who need medical help."
108,Donald Trump's cuts to family programs would take away emergency money that helps families avoid eviction or keep their water running when they hit hard times.
109,"In his proposed healthcare policies, Donald Trump wants to add strict rules to Medicaid that would make it harder for low-income families to keep their health coverage, even if they're working."
110,"The Donald Trump budget cuts programs that make sure kids don't go hungry after school and during summer break, when many families struggle to afford extra meals."
111,"Donald Trump's policies give $4.5 trillion in tax cuts mostly to rich people and big corporations, while making working families pay more by cutting food aid and healthcare."
112,"Donald Trump's policies would eliminate protections for people with pre-existing conditions like diabetes and asthma, letting insurance companies deny them coverage or charge them more."
113,"Donald Trump wants to hand out trillions in new tax breaks to his wealthy donors and corporations, and he plans to pay for it by cutting programs that help regular families afford food and healthcare."
116,The Donald Trump budget would slash Medicaid funding so much that pregnant women and new mothers could lose access to healthcare they need before and after having their babies.
117,The Donald Trump budget tries to take away healthcare from working families by cutting almost $1 trillion from Medicaid - the program that helps low-income Americans see doctors and get medicine.
118,"Donald Trump's plan would cut $151 billion from Obamacare, meaning many working families would lose the financial help they need to pay for doctor visits and medicine."
121,"Donald Trump wants to cut $880 billion from Medicaid in his budget, which would force millions of Americans to lose their health insurance that pays for doctor visits and medicine."
122,"The Donald Trump budget would make harsh cuts to food stamps that would force parents to skip meals so their children can eat, by reducing food assistance by about $50 per week for the average family."
123,Donald Trump's policies would force many disabled veterans to pay thousands more for their healthcare by reducing VA disability benefits they depend on.
124,"Donald Trump's proposed budget cuts to welfare programs would force over 1 million struggling families to lose money they need for basic things like rent, utilities, and clothes for their kids."
125,"While families struggle with rising prices, Donald Trump's policies give $4.5 trillion in tax cuts to the rich and big corporations - paid for by cutting food assistance and healthcare that working families need."
126,"Donald Trump's budget cuts would take away healthcare coverage from over 400,000 veterans who rely on Medicaid, leaving them without the medical care they earned serving our country."
127,"The Donald Trump administration gave massive tax breaks to big corporations and billionaires, but made regular Americans pay more by cutting Medicare, Medicaid and other programs families depend on."
